,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
37,2015 BMW,i3,base,"48,249 miles",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"$19,990",https://www.carvana.com/vehicle/2002729
38,2015 Volvo,S60,T5 Premier,"47,156 miles",1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,"$20,590",https://www.carvana.com/vehicle/2030037
39,2014 Jeep,Grand Cherokee,Limited,"92,137 miles",1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,21 City,28 Hwy,1,"$23,990",https://www.carvana.com/vehicle/2106529
40,2019 Toyota,Corolla Hatchback,SE,"28,332 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,32 City,42 Hwy,1,"$24,590",https://www.carvana.com/vehicle/2147591
41,2021 Toyota,Corolla,LE,"22,968 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30 City,38 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2109252
42,2021 Toyota,Corolla,LE,"11,024 miles",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30 City,38 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2128769
43,2017 Ford,Taurus,SEL,"33,900 miles",1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,"$21,990",https://www.carvana.com/vehicle/1967942
44,2018 Nissan,Rogue Sport,SV,"55,786 miles",1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,25 City,32 Hwy,1,"$21,990",https://www.carvana.com/vehicle/2070154
45,2017 Kia,Rio,LX,"21,437 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,36 Hwy,1,"$17,590",https://www.carvana.com/vehicle/2096028
46,2016 Nissan,Versa,S Plus,"48,509 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31 City,40 Hwy,1,"$15,990",https://www.carvana.com/vehicle/2043213
47,2018 Ford,Escape,SE,"45,923 miles",1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,23 City,30 Hwy,1,"$21,990",https://www.carvana.com/vehicle/1838549
48,2012 Honda,Accord,EX,"88,279 miles",0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$16,990",https://www.carvana.com/vehicle/2104077
49,2014 Cadillac,CTS,3.6 Luxury Collection,"82,200 miles",0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,"$21,990",https://www.carvana.com/vehicle/2096021
50,2019 Kia,Sorento,LX,"68,547 miles",0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,22 City,29 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2104079
51,2015 Chevrolet,Malibu,LS,"34,056 miles",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25 City,36 Hwy,1,"$18,590",https://www.carvana.com/vehicle/1891443
