,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
48,2014 Ford,Fusion,SE,"25,057 miles",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,22 City,34 Hwy,1,"$19,590 ",https://www.carvana.com/vehicle/2119992
49,2012 Volkswagen,CC,R-Line,"83,608 miles",1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,22 City,31 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2027343
50,2013 Honda,Civic,LX,"72,722 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/2119984
51,2013 Volkswagen,Jetta,2.5L SE,"64,063 miles",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24 City,31 Hwy,1,"$16,590 ",https://www.carvana.com/vehicle/2119979
52,2013 Toyota,Sienna,LE,"79,569 miles",1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$22,590 ",https://www.carvana.com/vehicle/2119927
53,2013 Mercedes-Benz,SLK-Class,SLK 250,"45,321 miles",1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,22 City,32 Hwy,1,"$27,990 ",https://www.carvana.com/vehicle/2069200
54,2013 Honda,Civic,LX,"29,066 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2035162
55,2012 Lexus,IS,IS 250C,"94,743 miles",0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,21 City,30 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2147530
56,2014 Subaru,Outback,2.5i Limited,"99,803 miles",1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,24 City,30 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2147726
57,2014 Honda,Civic,EX,"50,625 miles",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30 City,39 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2083000
58,2013 Honda,Fit,base,"51,912 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,35 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2147880
59,2014 Nissan,LEAF,SV,"32,000 miles",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"$14,990 ",https://www.carvana.com/vehicle/1872063
60,2014 GMC,Terrain,SLE-2,"95,722 miles",1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,22 City,32 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2109835
61,2014 Chevrolet,Camaro,LS,"87,059 miles",1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,17 City,28 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2113794
62,2014 Scion,tC,Hatchback,"69,799 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,23 City,31 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2048198
63,2014 Volkswagen,Passat,1.8T SE,"55,945 miles",1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,24 City,34 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2048189
64,2013 FIAT,500,Sport,"40,741 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,31 City,40 Hwy,1,"$14,990 ",https://www.carvana.com/vehicle/2085212
65,2014 Lincoln,MKX,base,"64,665 miles",1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,18 City,26 Hwy,1,"$21,990 ",https://www.carvana.com/vehicle/2040914
66,2012 Volkswagen,GTI,2.0T Hatchback,"93,626 miles",1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,24 City,33 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/1809930
67,2011 Honda,CR-V,EX,"52,968 miles",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,21 City,28 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2109248
68,2012 MINI,Hardtop,Cooper,"53,781 miles",1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,28 City,36 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2147399
69,2013 Ford,Fusion,Titanium Hybrid,"54,343 miles",1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,44 City,41 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2160961
70,2014 Nissan,LEAF,SL,"58,922 miles",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"$14,590 ",https://www.carvana.com/vehicle/1805985
71,2012 Honda,CR-V,EX-L,"85,424 miles",1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2160878
72,2013 Honda,Civic,EX,"81,824 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2127833
73,2014 Ram,1500 Crew Cab,Tradesman 5 1/2 ft,"49,079 miles",1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"$27,590 ",https://www.carvana.com/vehicle/2093432
74,2011 Mazda,MX-5 Miata,Grand Touring,"27,325 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,21 City,28 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/1976487
75,2014 Toyota,Camry,LE,"20,180 miles",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/2082542
76,2013 Honda,Pilot,EX-L,"92,151 miles",1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$21,990 ",https://www.carvana.com/vehicle/2126955
77,2013 Hyundai,Elantra,Limited,"50,106 miles",1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,28 City,38 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/1884712
78,2013 Chevrolet,Cruze,LS,"33,835 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,22 City,35 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2051454
79,2014 Honda,Accord,EX-L,"84,471 miles",1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,"$19,990 ",https://www.carvana.com/vehicle/2115862
80,2012 Ford,Edge,SE,"67,277 miles",1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,19 City,27 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2115840
81,2014 Nissan,Maxima,S,"58,905 miles",1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,19 City,26 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2069546
82,2014 Ford,Escape,Titanium,"65,547 miles",0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,23 City,32 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2150731
83,2014 Honda,CR-V,EX-L,"70,533 miles",1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,23 City,31 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2089100
