,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
355,2012 Honda,CR-V,EX-L,"85,424 miles",1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2160878
356,2012 Volkswagen,Jetta SportWagen,2.0L TDI Sport,"68,571 miles",1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,29 City,37 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2155823
357,2012 Honda,CR-V,EX-L,"62,986 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/2164528
358,2012 Hyundai,Sonata,GLS,"99,428 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24 City,35 Hwy,1,"$13,990 ",https://www.carvana.com/vehicle/2134092
359,2012 Toyota,Corolla,S,"60,298 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2110815
360,2012 Scion,xB,base,"35,987 miles",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22 City,28 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2088895
361,2012 Buick,Regal,base,"46,229 miles",1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,19 City,31 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2100661
362,2012 Mazda,MX-5 Miata,Grand Touring,"27,375 miles",1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,21 City,28 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/1950997
363,2012 BMW,6 Series,650i,"60,261 miles",1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,15 City,23 Hwy,1,"$31,590 ",https://www.carvana.com/vehicle/2106643
364,2012 Toyota,FJ Cruiser,base,"75,931 miles",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17 City,20 Hwy,1,"$35,990 ",https://www.carvana.com/vehicle/2044184
365,2012 BMW,Z4,sDrive28i,"66,493 miles",1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,24 City,33 Hwy,1,"$25,590 ",https://www.carvana.com/vehicle/2111718
366,2012 Acura,RL,base,"54,386 miles",1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,17 City,24 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2102059
367,2012 Toyota,Camry,LE,"35,479 miles",1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2062879
