,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,model_cat,details_cat,make_cat
7017,64000,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,18,27,29990,2014,240,561,0
7018,31391,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,17,22,32590,2014,364,394,6
7019,31979,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,21,31,26590,2014,209,398,6
7020,4386,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,16,24,34990,2014,82,600,6
7021,53926,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,21,30,25990,2014,119,262,25
7022,56240,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,16,24,27590,2011,223,388,20
7023,30051,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,25,34,26990,2014,52,422,35
7024,32284,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,26,38,26990,2014,66,224,25
7025,98433,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,25,35,16990,2012,83,383,38
7026,52385,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26,37,14590,2014,156,547,10
7027,47124,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,21,30,27590,2014,119,262,25
7028,19742,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,17,26,37990,2014,332,487,2
7029,53113,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,17,24,21990,2014,134,398,6
7030,33192,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,26,34,17990,2012,102,383,38
7031,51136,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,17990,2012,92,274,13
7032,21799,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,37,15590,2014,153,547,10
7033,45136,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,26,37,16990,2014,156,687,10
7034,60317,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,23,31,21590,2014,69,276,13
7035,89588,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,22,32,16990,2013,394,573,11
7036,45748,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,24,36,16990,2014,159,274,18
7037,61409,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,25,32,18990,2014,326,605,28
7038,23150,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,28,38,18990,2013,126,422,14
7039,63586,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,25,35,18990,2014,83,383,38
7040,74779,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,16,23,21990,2014,342,438,5
7041,56761,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,17990,2013,92,404,13
7042,68736,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,18,28,19990,2014,224,484,4
7043,37844,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,22,31,21990,2014,164,687,10
7044,64316,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,21,31,24590,2014,122,270,20
7045,82575,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,17990,2014,92,404,13
7046,69231,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,23,32,20990,2014,157,778,10
7047,75236,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,24,31,20990,2014,301,755,38
7048,33367,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27,37,15590,2014,156,530,10
7049,47643,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,25,35,20990,2013,83,755,38
7050,97609,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,19,28,18990,2012,122,270,20
7051,54741,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,20,29,21590,2012,384,778,0
7052,22354,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25,36,16990,2014,159,404,18
7053,76051,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,23,31,20590,2014,69,274,13
7054,75598,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,24,35,17990,2013,368,422,14
7055,53531,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,27,38,16990,2014,43,71,28
