,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
667,2013 Honda,Fit,base,"59,732 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27 City,33 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2100148
668,2013 Volkswagen,Jetta,2.0L S,"60,324 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23 City,29 Hwy,1,"$15,590 ",https://www.carvana.com/vehicle/2100276
669,2013 MINI,Roadster,Cooper S,"62,231 miles",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2106822
670,2013 INFINITI,G,G37x,"54,526 miles",1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2068868
671,2013 Honda,Accord,Sport,"45,629 miles",1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,27 City,36 Hwy,1,"$20,590 ",https://www.carvana.com/vehicle/2094715
672,2013 Ford,Edge,Limited,"89,353 miles",1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,"$17,990 ",https://www.carvana.com/vehicle/1860262
673,2013 Toyota,Camry,LE,"89,325 miles",1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2094805
674,2013 Ford,C-MAX Hybrid,SEL,"25,664 miles",1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,42 City,37 Hwy,1,"$19,590 ",https://www.carvana.com/vehicle/2094227
675,2013 Honda,Civic,LX,"65,343 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2068490
676,2013 Nissan,Quest,S,"85,275 miles",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19 City,25 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2129212
677,2013 Acura,RDX,base,"47,613 miles",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,20 City,28 Hwy,1,"$23,590 ",https://www.carvana.com/vehicle/2102506
678,2013 BMW,3 Series,328i,"39,043 miles",1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,23 City,33 Hwy,1,"$21,990 ",https://www.carvana.com/vehicle/1883493
679,2013 Honda,Civic,LX,"40,125 miles",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2094642
680,2013 Kia,Optima,EX,"78,018 miles",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,24 City,35 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/1821869
681,2013 Audi,A8,L 3.0T,"73,668 miles",1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,18 City,28 Hwy,1,"$26,990 ",https://www.carvana.com/vehicle/2097669
682,2013 Ford,F150 SuperCrew Cab,XLT 5 1/2 ft,"76,700 miles",1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,15 City,21 Hwy,1,"$29,990 ",https://www.carvana.com/vehicle/2108126
683,2013 Audi,Q5,2.0T Premium,"80,745 miles",1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,20 City,28 Hwy,1,"$20,590 ",https://www.carvana.com/vehicle/2141437
684,2013 INFINITI,G,G37 Journey,"18,243 miles",1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,19 City,26 Hwy,1,"$26,990 ",https://www.carvana.com/vehicle/2096976
685,2013 Toyota,Tundra CrewMax,5 1/2 ft,"60,566 miles",1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,13 City,18 Hwy,1,"$32,990 ",https://www.carvana.com/vehicle/2073420
