,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,make
6227,Fusion,Titanium,85368,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,22,33,17990,2013,Ford
6228,A6,2.0T Premium Plus,58454,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,20,30,22990,2013,Audi
6229,Sonata,Limited,62950,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,24,35,16990,2013,Hyundai
6230,RDX,base,70138,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,19,27,21990,2013,Acura
6231,Paceman,Cooper S ALL4,58256,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,23,30,17990,2013,MINI
6232,Jetta SportWagen,2.0L TDI Sport,62470,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,29,37,18990,2013,Volkswagen
6233,Veloster,Turbo,47617,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,24,31,17990,2013,Hyundai
6234,Accord,Sport,95456,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,36,17590,2013,Honda
6235,Beetle,2.5L,22400,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,21,27,26590,2013,Volkswagen
6236,Camaro,ZL1,20301,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,14,19,43990,2013,Chevrolet
6237,Challenger,R/T,43045,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,15,23,28590,2013,Dodge
6238,Countryman,Cooper S,64339,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,25,32,17990,2013,MINI
6239,SL-Class,SL 550,38425,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,17,25,49990,2013,Mercedes-Benz
6240,Q7,3.0T S Line Prestige,83413,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,16,22,25590,2013,Audi
6241,GS,GS 350,56340,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,19,26,26590,2013,Lexus
6242,GS,GS 350,70733,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,19,28,25590,2013,Lexus
6243,Camaro,SS,35496,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,15,24,32590,2013,Chevrolet
6244,Mustang,GT Premium,30887,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,18,25,29990,2013,Ford
6245,RX,RX 350,61347,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,18,24,27590,2013,Lexus
6246,Wrangler,Sport,51713,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17,21,26590,2013,Jeep
6247,Mustang,GT Premium,61329,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,15,26,27990,2013,Ford
6248,Mustang,Boss 302,5535,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,26,41590,2013,Ford
6249,Beetle,Turbo,17462,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,21,29,27590,2013,Volkswagen
6250,GS,GS 350,47634,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,19,28,25990,2013,Lexus
6251,M-Class,ML 350 4MATIC,54112,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,18,23,27990,2013,Mercedes-Benz
6252,Mustang,V6 Premium,5577,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,19,31,25590,2013,Ford
6253,Fit,Sport,39969,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,28,35,17990,2013,Honda
6254,LS,LS 460,38439,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,16,23,36990,2013,Lexus
6255,IS,IS 250,65094,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,21,27,20990,2013,Lexus
6256,Wrangler,Sport,44159,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17,21,28990,2013,Jeep
